Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
ALASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190158
PENNSYLVANIA,2019,1,,-,8,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
WEST SOUTH CENTRAL,2019,1,,-,5,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190143
INDIANA,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190116
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
TOTAL,2019,1,,-,53,,,-,23,,,-,9,,,-,,-,,-,16,,,-,1,,,TOTAL,20190170
VERMONT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
SOUTH DAKOTA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
WEST NORTH CENTRAL,2019,1,,-,5,,,-,1,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL,20190120
OKLAHOMA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
COLORADO,2019,1,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
HAWAII,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
NORTH CAROLINA,2019,1,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
ILLINOIS,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
NEW YORK CITY,2019,1,,-,11,,,-,3,,,-,9,,,-,,-,,-,2,,,-,,-,,NEW YORK CITY,20190112
WASHINGTON,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
EAST NORTH CENTRAL,2019,1,,-,7,,,-,2,,,-,1,,,-,,-,,-,4,,,-,1,,,EAST NORTH CENTRAL,20190114
NEW MEXICO,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
